global_step,epoch,step,phase,loss_ce,loss_tok,loss_phr,loss_cfg,loss_total,reward_phr,reward_cfg,lam_ce,lam_tok,lam_phr,lam_cfg,lr,grad_norm
1280,1,1279,Phase-1:CE,1.197717,0.0,0.0,0.0,1.197717,0.0,0.0,1.0,0.5,0.5,0.2,1.992e-05,21.125
1290,1,1289,Phase-1:CE,1.01087,0.0,0.0,0.0,1.01087,0.0,0.0,1.0,0.5,0.5,0.2,1.992e-05,11.1875
1300,1,1299,Phase-1:CE,0.627483,0.0,0.0,0.0,0.627483,0.0,0.0,1.0,0.5,0.5,0.2,1.992e-05,9.9375
1310,1,1309,Phase-1:CE,1.02299,0.0,0.0,0.0,1.02299,0.0,0.0,1.0,0.5,0.5,0.2,1.992e-05,14.9375
1320,1,1319,Phase-1:CE,0.603983,0.0,0.0,0.0,0.603983,0.0,0.0,1.0,0.5,0.5,0.2,1.991e-05,7.9375
1330,1,1329,Phase-1:CE,0.469593,0.0,0.0,0.0,0.469593,0.0,0.0,1.0,0.5,0.5,0.2,1.991e-05,7.3125
1340,1,1339,Phase-1:CE,1.625383,0.0,0.0,0.0,1.625383,0.0,0.0,1.0,0.5,0.5,0.2,1.991e-05,16.125
1350,1,1349,Phase-1:CE,0.613874,0.0,0.0,0.0,0.613874,0.0,0.0,1.0,0.5,0.5,0.2,1.99e-05,10.0625
1360,1,1359,Phase-1:CE,0.951265,0.0,0.0,0.0,0.951265,0.0,0.0,1.0,0.5,0.5,0.2,1.99e-05,10.25
1370,1,1369,Phase-1:CE,0.598722,0.0,0.0,0.0,0.598722,0.0,0.0,1.0,0.5,0.5,0.2,1.99e-05,8.5
1380,1,1379,Phase-1:CE,0.365188,0.0,0.0,0.0,0.365188,0.0,0.0,1.0,0.5,0.5,0.2,1.989e-05,7.9375
1390,1,1389,Phase-1:CE,0.635955,0.0,0.0,0.0,0.635955,0.0,0.0,1.0,0.5,0.5,0.2,1.989e-05,11.25
1400,1,1399,Phase-1:CE,0.959838,0.0,0.0,0.0,0.959838,0.0,0.0,1.0,0.5,0.5,0.2,1.989e-05,17.25
1410,1,1409,Phase-1:CE,0.737984,0.0,0.0,0.0,0.737984,0.0,0.0,1.0,0.5,0.5,0.2,1.988e-05,9.625
1420,1,1419,Phase-1:CE,0.875166,0.0,0.0,0.0,0.875166,0.0,0.0,1.0,0.5,0.5,0.2,1.988e-05,15.375
1430,1,1429,Phase-1:CE,1.216546,0.0,0.0,0.0,1.216546,0.0,0.0,1.0,0.5,0.5,0.2,1.988e-05,12.5625
1440,1,1439,Phase-1:CE,1.311131,0.0,0.0,0.0,1.311131,0.0,0.0,1.0,0.5,0.5,0.2,1.987e-05,13.375
1450,1,1449,Phase-1:CE,1.015587,0.0,0.0,0.0,1.015587,0.0,0.0,1.0,0.5,0.5,0.2,1.987e-05,14.0625
1460,1,1459,Phase-1:CE,0.953923,0.0,0.0,0.0,0.953923,0.0,0.0,1.0,0.5,0.5,0.2,1.987e-05,11.25
1470,1,1469,Phase-1:CE,0.729826,0.0,0.0,0.0,0.729826,0.0,0.0,1.0,0.5,0.5,0.2,1.986e-05,8.6875
1480,1,1479,Phase-1:CE,0.716069,0.0,0.0,0.0,0.716069,0.0,0.0,1.0,0.5,0.5,0.2,1.986e-05,11.125
1490,1,1489,Phase-1:CE,0.770024,0.0,0.0,0.0,0.770024,0.0,0.0,1.0,0.5,0.5,0.2,1.985e-05,11.75
1500,1,1499,Phase-1:CE,0.433255,0.0,0.0,0.0,0.433255,0.0,0.0,1.0,0.5,0.5,0.2,1.985e-05,6.25
1510,1,1509,Phase-1:CE,0.660151,0.0,0.0,0.0,0.660151,0.0,0.0,1.0,0.5,0.5,0.2,1.985e-05,10.0625
1520,1,1519,Phase-1:CE,0.96621,0.0,0.0,0.0,0.96621,0.0,0.0,1.0,0.5,0.5,0.2,1.984e-05,13.125
1530,1,1529,Phase-1:CE,0.616225,0.0,0.0,0.0,0.616225,0.0,0.0,1.0,0.5,0.5,0.2,1.984e-05,7.25
1540,1,1539,Phase-1:CE,0.949309,0.0,0.0,0.0,0.949309,0.0,0.0,1.0,0.5,0.5,0.2,1.983e-05,11.5
1550,1,1549,Phase-1:CE,0.787584,0.0,0.0,0.0,0.787584,0.0,0.0,1.0,0.5,0.5,0.2,1.983e-05,11.75
1560,1,1559,Phase-1:CE,0.632519,0.0,0.0,0.0,0.632519,0.0,0.0,1.0,0.5,0.5,0.2,1.983e-05,7.6875
1570,1,1569,Phase-1:CE,0.607245,0.0,0.0,0.0,0.607245,0.0,0.0,1.0,0.5,0.5,0.2,1.982e-05,8.0625
